ColumnHeader,Measurement,Gravels,Stones,Treatment,Depth,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(28,5)",Period,Shallow,StoneFree,D,D4,7,2,S_28,uSec,Samp,2,4
"CS650(28,6)",VoltageRatio,Shallow,StoneFree,D,D4,7,2,S_28,-,Samp,2,4
"CS650(29,1)",VolumetricWaterContent,Deep,Stony,B,D1,8,2,S_29,mm3/mm3,Samp,2,5
"CS650(29,2)",ElectricalConductivity,Deep,Stony,B,D1,8,2,S_29,dS/m,Samp,2,5
"CS650(29,3)",Temperature,Deep,Stony,B,D1,8,2,S_29,oC,Samp,2,5
"CS650(29,4)",Permittivity,Deep,Stony,B,D1,8,2,S_29,-,Samp,2,5
"CS650(29,5)",Period,Deep,Stony,B,D1,8,2,S_29,uSec,Samp,2,5
"CS650(29,6)",VoltageRatio,Deep,Stony,B,D1,8,2,S_29,-,Samp,2,5
"CS650(30,1)",VolumetricWaterContent,Deep,Stony,B,D2,8,2,S_30,mm3/mm3,Samp,2,6
"CS650(30,2)",ElectricalConductivity,Deep,Stony,B,D2,8,2,S_30,dS/m,Samp,2,6
"CS650(30,3)",Temperature,Deep,Stony,B,D2,8,2,S_30,oC,Samp,2,6
"CS650(30,4)",Permittivity,Deep,Stony,B,D2,8,2,S_30,-,Samp,2,6
"CS650(30,5)",Period,Deep,Stony,B,D2,8,2,S_30,uSec,Samp,2,6
"CS650(30,6)",VoltageRatio,Deep,Stony,B,D2,8,2,S_30,-,Samp,2,6
"CS650(31,1)",VolumetricWaterContent,Deep,Stony,B,D3,8,2,S_31,mm3/mm3,Samp,2,7
"CS650(31,2)",ElectricalConductivity,Deep,Stony,B,D3,8,2,S_31,dS/m,Samp,2,7
"CS650(31,3)",Temperature,Deep,Stony,B,D3,8,2,S_31,oC,Samp,2,7
"CS650(31,4)",Permittivity,Deep,Stony,B,D3,8,2,S_31,-,Samp,2,7
"CS650(31,5)",Period,Deep,Stony,B,D3,8,2,S_31,uSec,Samp,2,7
"CS650(31,6)",VoltageRatio,Deep,Stony,B,D3,8,2,S_31,-,Samp,2,7
"CS650(32,1)",VolumetricWaterContent,Deep,Stony,B,D4,8,2,S_32,mm3/mm3,Samp,2,8
"CS650(32,2)",ElectricalConductivity,Deep,Stony,B,D4,8,2,S_32,dS/m,Samp,2,8
"CS650(32,3)",Temperature,Deep,Stony,B,D4,8,2,S_32,oC,Samp,2,8
"CS650(32,4)",Permittivity,Deep,Stony,B,D4,8,2,S_32,-,Samp,2,8
"CS650(32,5)",Period,Deep,Stony,B,D4,8,2,S_32,uSec,Samp,2,8
